Date,Value
20/12/2016,1.03755966
19/12/2016,1.043623461
16/12/2016,1.041016032
15/12/2016,1.041449698
14/12/2016,1.064962726
13/12/2016,1.064056182
12/12/2016,1.060895396
09/12/2016,1.053629755
08/12/2016,1.061345786
07/12/2016,1.076658053
06/12/2016,1.073191672
05/12/2016,1.072501073
02/12/2016,1.066098081
01/12/2016,1.061345786
30/11/2016,1.060895396
29/11/2016,1.06179656
28/11/2016,1.058313049
25/11/2016,1.060445387
24/11/2016,1.056189269
23/11/2016,1.053296819
22/11/2016,1.058537102
21/11/2016,1.062247716
18/11/2016,1.057417786
17/11/2016,1.067349771
16/11/2016,1.067235859
15/11/2016,1.072846261
14/11/2016,1.07227107
11/11/2016,1.085069444
10/11/2016,1.087902524
09/11/2016,1.094810598
08/11/2016,1.104606208
07/11/2016,1.103387399
04/11/2016,1.112099644
03/11/2016,1.109631602
02/11/2016,1.111852346
01/11/2016,1.104240283
31/10/2016,1.096250822
28/10/2016,1.092657343
27/10/2016,1.091822251
26/10/2016,1.091822251
25/10/2016,1.085894234
24/10/2016,1.088257699
21/10/2016,1.087074682
20/10/2016,1.092657343
19/10/2016,1.096852035
18/10/2016,1.097213079
17/10/2016,1.099021871
14/10/2016,1.100352113
13/10/2016,1.103022281
12/10/2016,1.101079057
11/10/2016,1.10570544
10/10/2016,1.115697869
07/10/2016,1.11744329
06/10/2016,1.116944041
05/10/2016,1.120071685
04/10/2016,1.115946881
03/10/2016,1.121704992
30/09/2016,1.123974373
29/09/2016,1.122964627
28/09/2016,1.11919418
27/09/2016,1.119820829
26/09/2016,1.126887537
23/09/2016,1.121956692
22/09/2016,1.123974373
21/09/2016,1.113957892
20/09/2016,1.116569897
19/09/2016,1.118193
16/09/2016,1.116071429
15/09/2016,1.124227094
14/09/2016,1.124227094
13/09/2016,1.124100719
12/09/2016,1.121579183
09/09/2016,1.121076233
08/09/2016,1.127522832
07/09/2016,1.124227094
06/09/2016,1.124100719
05/09/2016,1.114206128
02/09/2016,1.116196004
01/09/2016,1.11919418
31/08/2016,1.113461753
30/08/2016,1.115075825
26/08/2016,1.127904354
25/08/2016,1.128031585
24/08/2016,1.124859393
23/08/2016,1.132246377
22/08/2016,1.132887731
19/08/2016,1.132631102
18/08/2016,1.132759402
17/08/2016,1.127522832
16/08/2016,1.125872551
15/08/2016,1.119695443
12/08/2016,1.117818019
11/08/2016,1.117818019
10/08/2016,1.116445238
09/08/2016,1.110987668
08/08/2016,1.107419712
05/08/2016,1.107051921
04/08/2016,1.113957892
03/08/2016,1.11719361
02/08/2016,1.121956692
01/08/2016,1.116944041
29/07/2016,1.117942985
28/07/2016,1.108278843
27/07/2016,1.098659635
26/07/2016,1.09805644
25/07/2016,1.097092704
22/07/2016,1.09805644
21/07/2016,1.099384345
20/07/2016,1.100836636
19/07/2016,1.101079057
18/07/2016,1.106561912
15/07/2016,1.107051921
14/07/2016,1.110370864
13/07/2016,1.110247585
12/07/2016,1.107174491
11/07/2016,1.104362231
08/07/2016,1.103630946
07/07/2016,1.107174491
06/07/2016,1.107051921
05/07/2016,1.11049417
04/07/2016,1.113833816
01/07/2016,1.113337787
30/06/2016,1.111605158
29/06/2016,1.11049417
28/06/2016,1.105216622
27/06/2016,1.09733348
24/06/2016,1.111605158
23/06/2016,1.134944955
22/06/2016,1.128158845
21/06/2016,1.126887537
20/06/2016,1.133786848
17/06/2016,1.124606388
16/06/2016,1.114702932
15/06/2016,1.123595506
14/06/2016,1.121076233
13/06/2016,1.129943503
10/06/2016,1.12981584
09/06/2016,1.132631102
08/06/2016,1.139341461
07/06/2016,1.135460429
06/06/2016,1.13662196
03/06/2016,1.132887731
02/06/2016,1.115946881
01/06/2016,1.11744329
31/05/2016,1.113213848
27/05/2016,1.113337787
26/05/2016,1.118443127
25/05/2016,1.114454475
24/05/2016,1.115946881
23/05/2016,1.119695443
20/05/2016,1.121201928
19/05/2016,1.120448179
18/05/2016,1.127777151
17/05/2016,1.133401337
16/05/2016,1.133144476
13/05/2016,1.129943503
12/05/2016,1.140250855
11/05/2016,1.143249114
10/05/2016,1.139341461
09/05/2016,1.13960114
06/05/2016,1.142204455
05/05/2016,1.139860937
04/05/2016,1.149293185
03/05/2016,1.151675688
29/04/2016,1.145344176
28/04/2016,1.13147771
27/04/2016,1.130837951
26/04/2016,1.13058225
25/04/2016,1.126760563
22/04/2016,1.123848056
21/04/2016,1.128795575
20/04/2016,1.133016089
19/04/2016,1.137656428
18/04/2016,1.132887731
15/04/2016,1.129560601
14/04/2016,1.126252956
13/04/2016,1.128413451
12/04/2016,1.137527016
11/04/2016,1.144295686
08/04/2016,1.14064104
07/04/2016,1.137915339
06/04/2016,1.137397634
05/04/2016,1.137656428
04/04/2016,1.138174368
01/04/2016,1.134558657
31/03/2016,1.139731023
30/03/2016,1.135460429
29/03/2016,1.118943717
24/03/2016,1.116320607
23/03/2016,1.117568172
22/03/2016,1.122712473
21/03/2016,1.125999324
18/03/2016,1.129177958
17/03/2016,1.131605749
16/03/2016,1.107542363
15/03/2016,1.111234582
14/03/2016,1.110617503
11/03/2016,1.115946881
10/03/2016,1.114702932
09/03/2016,1.100715465
08/03/2016,1.105827712
07/03/2016,1.098418278
04/03/2016,1.100836636
03/03/2016,1.093254619
02/03/2016,1.082837033
01/03/2016,1.086012163
29/02/2016,1.086366105
26/02/2016,1.092657343
25/02/2016,1.103509159
24/02/2016,1.102535832
23/02/2016,1.102414287
22/02/2016,1.102657404
19/02/2016,1.110617503
18/02/2016,1.11000111
17/02/2016,1.113089938
16/02/2016,1.114330287
15/02/2016,1.114454475
12/02/2016,1.124479928
11/02/2016,1.13430127
10/02/2016,1.119946243
09/02/2016,1.130965845
08/02/2016,1.114578689
05/02/2016,1.114081996
04/02/2016,1.116819299
03/02/2016,1.104850293
02/02/2016,1.090274749
01/02/2016,1.089087345
29/01/2016,1.081899816
28/01/2016,1.093972213
27/01/2016,1.086956522
26/01/2016,1.08495172
25/01/2016,1.083423619
22/01/2016,1.082368222
21/01/2016,1.082251082
20/01/2016,1.089799477
19/01/2016,1.089680724
18/01/2016,1.087192868
15/01/2016,1.094810598
14/01/2016,1.084128361
13/01/2016,1.084481076
12/01/2016,1.082251082
11/01/2016,1.085069444
08/01/2016,1.090750436
07/01/2016,1.082837033
06/01/2016,1.07434465
05/01/2016,1.072156106
04/01/2016,1.0801469
31/12/2015,1.089205969
30/12/2015,1.091345629
29/12/2015,1.090512541
24/12/2015,1.09469075
23/12/2015,1.087902524
22/12/2015,1.096731739
21/12/2015,1.091941472
18/12/2015,1.084481076
17/12/2015,1.083423619
16/12/2015,1.094570928
15/12/2015,1.092060719
14/12/2015,1.102779003
11/12/2015,1.099868016
10/12/2015,1.093613298
09/12/2015,1.096250822
08/12/2015,1.087074682
07/12/2015,1.08495172
04/12/2015,1.088850174
03/12/2015,1.08495172
02/12/2015,1.056747332
01/12/2015,1.060782858
30/11/2015,1.056077727
27/11/2015,1.059546514
26/11/2015,1.061909313
25/11/2015,1.060220526
24/11/2015,1.064056182
23/11/2015,1.061345786
20/11/2015,1.06621175
19/11/2015,1.073652566
18/11/2015,1.064849324
17/11/2015,1.065189604
16/11/2015,1.071696496
13/11/2015,1.07307651
12/11/2015,1.07538445
11/11/2015,1.072846261
10/11/2015,1.069289991
09/11/2015,1.074575543
06/11/2015,1.074113856
05/11/2015,1.086484137
04/11/2015,1.086012163
03/11/2015,1.095050372
02/11/2015,1.103630946
30/10/2015,1.104118361
29/10/2015,1.096010522
28/10/2015,1.106439478
27/10/2015,1.105216622
26/10/2015,1.104972376
23/10/2015,1.103387399
22/10/2015,1.116071429
21/10/2015,1.135460429
20/10/2015,1.134172621
19/10/2015,1.130837951
16/10/2015,1.137656428
15/10/2015,1.138563133
14/10/2015,1.143641354
13/10/2015,1.137268282
12/10/2015,1.137397634
09/10/2015,1.135589371
08/10/2015,1.127649977
07/10/2015,1.123469273
06/10/2015,1.126252956
05/10/2015,1.121327652
02/10/2015,1.127395716
01/10/2015,1.120448179
30/09/2015,1.116569897
29/09/2015,1.121830828
